City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
651,Normandin,CA,78.93,overcast clouds,48.8333,-72.5321,Chambres MB Normandin (Lac St -Jean)
652,Rosaryville,US,82.22,light rain,38.7568,-76.8097,DSQ Farm
654,Dwarka,IN,81.61,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
657,Kudahuvadhoo,MV,76.71,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
660,Felanitx,ES,81.14,clear sky,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
661,Beaverlodge,CA,78.15,few clouds,55.2166,-119.4361,Side Trax Inn
665,Mount Pleasant,US,82.54,clear sky,32.7941,-79.8626,Best Western Patriots Point
667,Porbandar,IN,80.71,broken clouds,21.6422,69.6093,Lords Inn Porbandar
669,The Pas,CA,80.62,clear sky,53.8251,-101.2541,Wescana Inn
675,Neiafu,TO,81.28,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
679,Alta Floresta,BR,76.8,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
683,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
684,Katobu,ID,78.73,overcast clouds,-4.9408,122.5276,La Ode Husein
686,Porto Nacional,BR,78.8,clear sky,-10.7081,-48.4172,Vila Real Hotel
687,Crotone,IT,84.2,clear sky,39.0851,17.1178,Helios Hotel
689,Elat,IL,82.24,clear sky,29.5581,34.9482,Club Hotel Eilat
690,Bambanglipuro,ID,76.48,overcast clouds,-7.95,110.2833,Puri Brata
