City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Yarada,IN,17.65,83.2667,80.22,85,100,13.02,overcast clouds
314,Tezu,IN,27.9167,96.1667,76.78,98,82,2.21,broken clouds
315,Alice Springs,AU,-23.7,133.8833,42.35,39,1,0.0,clear sky
316,Tabuny,RU,52.7773,78.7896,56.08,82,27,7.61,scattered clouds
317,Sur,OM,22.5667,59.5289,86.58,70,100,6.46,light rain
318,Kaitangata,NZ,-46.2817,169.8464,55.69,60,84,7.45,broken clouds
319,Rio Pardo De Minas,BR,-15.6097,-42.5397,65.55,53,0,8.12,clear sky
320,Gorontalo,ID,0.5412,123.0595,74.62,97,100,2.95,light rain
321,Mabaruma,GY,8.2,-59.7833,77.13,87,49,4.38,scattered clouds
322,Namatanai,PG,-3.6667,152.4333,83.73,69,80,9.62,broken clouds
323,Ormara,PK,25.2088,64.6357,83.41,89,90,19.62,overcast clouds
324,Acapulco,MX,16.8634,-99.8901,85.82,66,75,5.75,broken clouds
325,Middelburg,ZA,-25.7751,29.4648,48.33,59,0,2.59,clear sky
326,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.54,84,99,19.57,overcast clouds
327,Kropotkin,RU,45.4375,40.5756,72.9,47,92,5.37,overcast clouds
328,Topolobampo,MX,25.6,-109.05,89.51,48,0,12.66,clear sky
329,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,44.56,83,0,7.05,clear sky
330,Amga,RU,60.8953,131.9608,79.02,55,5,4.99,clear sky
331,Khasan,RU,42.4308,130.6434,63.45,98,100,8.63,heavy intensity rain
332,Lavrentiya,RU,65.5833,-171.0,48.72,94,100,10.69,light rain
333,Puerto Ayacucho,VE,5.6639,-67.6236,78.58,86,75,2.66,broken clouds
334,Timaru,NZ,-44.4,171.25,58.06,54,7,18.01,clear sky
335,Youkounkoun,GN,12.5333,-13.1333,78.1,91,74,6.78,broken clouds
336,Pangnirtung,CA,66.1451,-65.7125,50.76,66,42,1.83,scattered clouds
337,Lahij,YE,13.1667,44.5833,89.67,37,96,1.39,overcast clouds
338,Ilulissat,GL,69.2167,-51.1,51.82,54,26,5.75,scattered clouds
339,Ginir,ET,7.1333,40.7,56.08,85,91,10.27,overcast clouds
340,Key Largo,US,25.0865,-80.4473,87.01,74,100,6.8,overcast clouds
341,Khash,IR,28.2211,61.2158,77.77,48,10,3.87,clear sky
342,Mtama,TZ,-10.3,39.3667,64.81,95,17,1.95,few clouds
343,Pevek,RU,69.7008,170.3133,31.93,92,100,29.37,overcast clouds
344,Muriti,TZ,-1.9833,32.9167,73.47,60,45,15.84,scattered clouds
345,Najran,SA,17.4924,44.1277,83.05,33,97,8.03,overcast clouds
